id,name,date,time,venue_name,venue_address,latitude,longitude,category,genre,min_price,max_price,url,image_url,source,description,status
1Av7ZbJGksmQoeR,Natural Woman: Tribute to Aretha Franklin & The Ladies of Motown ,2025-06-20,20:00:00,"The Pearl Showroom, Pure Casino Yellowhead","12464 153 Street, , Edmonton",53.579453,-113.585482,music,R&B,,,https://www.ticketmaster.ca/natural-woman-tribute-to-aretha-franklin-edmonton-alberta-06-20-2025/event/1100626C6E6910AF,https://s1.ticketm.net/dam/e/550/4e38eb8e-1b8b-4dfc-825e-656dfa0cb550_SOURCE,ticketmaster,"Natural Woman: A Tribute to Aretha Franklin and The First Ladies of Motown + Soul is a tribute to your favourite ladies of Motown: Aretha Franklin, Tina Turner, Gladys Knight, Etta James and more! Join us in the Pearl Showroom for dinner & drink service right at your seat!",onsale
1av7ZbIrKQvZd2vu,Burton Cummings & Tom Cochrane,2025-06-21,17:00:00,Fan Park at ICE District,"10128 - 104 Avenue NW, , Edmonton",53.54661,-113.49457,music,Rock,,,https://www.ticketmaster.ca/burton-cummings-tom-cochrane-edmonton-alberta-06-21-2025/event/1100628793681E0C,https://s1.ticketm.net/dam/a/9f3/2cee165a-d7e6-408c-9700-c9f3253e19f3_SOURCE,ticketmaster,No reserved seating - Attendees are permitted to bring their own chair for this event.,onsale
16e0ZbtbkG7lOPK,Ardn - Presented By Nightshift Entertainment,2025-06-21,20:00:00,Union Hall,"6240 - 99 Street, , Edmonton",53.498703,-113.487494,music,R&B,,,https://www.ticketweb.ca/event/ardn-presented-by-union-hall-tickets/14289873?REFERRAL_ID=tmfeed,https://s1.ticketm.net/dam/c/48b/2352e3b5-8496-496b-97a3-e605177e848b_105851_TABLET_LANDSCAPE_LARGE_16_9.jpg,ticketmaster,,onsale
16oZkayOsZAueu8G,All The Feels R&B,2025-06-21,21:00:00,Midway Music Hall,"6107-104 Street NW, , Edmonton",53.498504,-113.496641,music,Undefined,,,https://www.ticketmaster.ca/all-the-feels-rb-edmonton-alberta-06-21-2025/event/11006279831C1CFB,https://s1.ticketm.net/dam/c/ab4/6367448e-7474-4650-bd2d-02a8f7166ab4_106161_TABLET_LANDSCAPE_LARGE_16_9.jpg,ticketmaster,,onsale
1778vxG616xug67,Top Talent Wrestling,2025-06-27,18:00:00,Midway Music Hall,"6107-104 Street NW, , Edmonton",53.498504,-113.496641,sports,Wrestling,,,https://www.ticketmaster.ca/top-talent-wrestling-edmonton-alberta-06-27-2025/event/110062A1E23751C4,https://s1.ticketm.net/dam/a/441/23a421f9-3f28-4642-abeb-5e1ca7371441_SOURCE,ticketmaster,,onsale
1Ae0ZbIGkD9wNkf,Northsidebenji - Presented By Nightshift Entertainment,2025-06-27,19:00:00,Union Hall,"6240 - 99 Street, , Edmonton",53.498703,-113.487494,music,Hip-Hop/Rap,,,https://www.ticketweb.ca/event/northsidebenji-presented-by-union-hall-tickets/13733924?REFERRAL_ID=tmfeed,https://s1.ticketm.net/dam/c/80b/f3cd8d24-c3ae-4fa0-b4bc-1ba99f9b380b_106091_TABLET_LANDSCAPE_LARGE_16_9.jpg,ticketmaster,,onsale
1AoZkafGkeEUSoJ,Supersonic: North America's Tribute To Oasis,2025-06-27,20:00:00,"The Pearl Showroom, Pure Casino Yellowhead","12464 153 Street, , Edmonton",53.579453,-113.585482,music,Rock,,,https://www.ticketmaster.ca/supersonic-north-americas-tribute-to-oasis-edmonton-alberta-06-27-2025/event/11006254A7DB3466,https://s1.ticketm.net/dam/e/3dc/83e3d27b-1a1a-479b-9119-fe79886f83dc_TABLET_LANDSCAPE_LARGE_16_9.jpg,ticketmaster,"Formed in 2009, SuperSonic is a talented lineup of musicians who share a passion for the music of Oasis. Each performer captures the essence of the band, ensuring that every show is a true homage to their legendary sound. The energy they bring to those iconic tracks--Live Forever, Supersonic, Wonderwall, Don't Look Back In Anger, Champagne Supernova and more creates an unforgettable atmosphere. Join us in the Pearl Showroom for dinner & drink service right at your seat!",onsale
1778vxG61QYlNT7,Bingo Loco presents Name That Song,2025-06-28,17:30:00,Midway Music Hall,"6107-104 Street NW, , Edmonton",53.498504,-113.496641,music,Pop,,,https://www.ticketmaster.ca/bingo-loco-presents-name-that-song-edmonton-alberta-06-28-2025/event/110062A6B0AE3FC4,https://s1.ticketm.net/dam/a/70b/dcda4fe8-2449-483c-93a1-03877718a70b_SOURCE,ticketmaster,3 games of Name That Song Bingo,onsale
16v7ZbPogG7colR,The HIP Experience: Celebrating the music of The Tragically Hip,2025-06-28,20:00:00,"The Pearl Showroom, Pure Casino Yellowhead","12464 153 Street, , Edmonton",53.579453,-113.585482,music,Rock,,,https://www.ticketmaster.ca/the-hip-experience-celebrating-the-music-edmonton-alberta-06-28-2025/event/1100625475B51AEF,https://s1.ticketm.net/dam/e/551/ee202017-afdd-42e8-835a-1a85ccd12551_SOURCE,ticketmaster,The HIP Experience was formed in 2017 shortly after the passing of Gord Downie in October of that year. The band was originally put together for a memorial tribute concert to the Canadian Icon. The Hip Experience is a crowd favourite at festivals with their high energy delivery of the Tragically Hips music. The bands performances capture the spirit of the Hip with great attention to detail and the nuances of the music. Join us in the Pearl Showroom for dinner & drink service right at your seat!,onsale
1Ae0ZbIGkRn0KdY,Culture Shock,2025-06-28,21:00:00,Union Hall,"6240 - 99 Street, , Edmonton",53.498703,-113.487494,music,Dance/Electronic,,,https://www.ticketweb.ca/event/culture-shock-union-hall-tickets/14375843?REFERRAL_ID=tmfeed,https://s1.ticketm.net/dam/c/df8/81eadad8-4449-412e-a2b1-3d8bbb78edf8_106181_TABLET_LANDSCAPE_LARGE_16_9.jpg,ticketmaster,,onsale
